time,wx,wy,wz
15.908506155014038,-0.65,-0.5,-1.02
15.919051170349121,-0.68,-0.48,-1.02
15.937990188598633,-0.77,-0.07,-0.92
15.940872192382812,-0.77,-0.07,-0.92
15.948177337646484,-0.87,0.13,-0.81
15.958359241485596,-0.96,0.14,-0.76
15.968088150024414,-1.08,-0.02,-0.75
15.978092193603516,-1.14,-0.24,-0.78
15.987828254699707,-1.18,-0.26,-0.77
15.997905254364014,-1.18,0.0,-0.8
16.00810217857361,-1.15,0.45,-0.91
16.017789125442505,-1.1,0.8,-1.05
16.03573703765869,-1.06,0.81,-1.16
16.038326263427734,-1.12,0.49,-1.25
16.047556161880493,-1.25,-0.01,-1.28
16.057554244995117,-1.31,-0.42,-1.19
16.067382335662842,-1.27,-0.67,-1.05
16.07742214202881,-1.17,-0.81,-0.96
16.08721113204956,-1.05,-0.84,-0.92
16.097565174102783,-0.91,-0.82,-0.77
16.107129096984863,-0.7,-0.78,-0.55
16.117261171340942,-0.38,-0.75,-0.31
16.128215312957764,-0.03,-0.65,-0.11
16.146878242492676,0.38,0.05,0.39
16.149291038513184,0.38,0.05,0.39
16.156827211380005,0.51,0.36,0.66
16.16661834716797,0.68,0.49,0.81
16.176758289337158,0.85,0.49,0.86
16.186654090881348,1.01,0.42,0.89
16.196455001831055,1.17,0.25,0.92
16.206353187561035,1.38,-0.01,0.92
16.216361045837402,1.54,-0.27,0.9
16.227060317993164,1.6,-0.47,0.84
16.24392318725586,1.57,-0.44,0.82
16.24578619003296,1.52,-0.24,0.84
16.255893230438232,1.61,0.0,0.87
16.26599931716919,1.78,0.17,0.94
16.27613401412964,1.95,0.2,1.07
16.285847187042236,2.03,0.1,1.24
16.295809268951416,1.91,-0.09,1.35
16.305646181106567,1.76,-0.25,1.33
16.315592288970947,1.62,-0.18,1.23
16.325865268707275,1.5,0.14,1.15
16.34328031539917,1.51,0.51,1.14
16.3451189994812,1.57,0.82,1.19
16.35526418685913,1.54,1.08,1.27
16.36525011062622,1.41,1.3,1.24
16.375378131866455,1.3,1.47,1.06
16.38493514060974,1.16,1.35,0.81
16.39508318901062,1.08,0.68,0.64
16.404908180236816,0.94,-0.41,0.64
16.41520404815674,0.77,-1.28,0.78
16.424824237823486,0.72,-1.38,0.89
16.441736221313477,0.82,-0.68,0.82
16.444451332092285,0.89,0.51,0.55
16.4545681476593,0.85,1.43,0.23
16.46443223953247,0.66,1.4,0.08
16.474507331848145,0.44,0.49,0.18
16.48427104949951,0.18,-0.78,0.52
16.494381189346313,-0.01,-1.73,0.89
16.504472255706787,-0.02,-1.88,1.1
16.51420831680298,-0.01,-1.23,1.09
16.524202346801758,0.06,-0.11,0.91
16.54172134399414,0.08,0.91,0.6
16.543864250183105,-0.03,1.4,0.37
16.553691148757935,-0.21,1.27,0.44
16.563932180404663,-0.26,0.84,0.63
16.573788166046143,-0.2,0.42,0.68
16.583604335784912,-0.12,0.24,0.56
16.593931198120117,-0.06,0.4,0.38
16.60347604751587,-0.04,0.68,0.15
16.613479137420654,-0.02,0.77,-0.12
16.62358808517456,-0.03,0.51,-0.38
16.643303155899048,-0.02,-0.35,-0.51
16.644886016845703,-0.02,-0.35,-0.51
16.65295934677124,-0.05,-0.55,-0.51
16.66316318511963,-0.09,-0.59,-0.5
16.673180103302002,-0.1,-0.52,-0.46
16.683051109313965,-0.12,-0.39,-0.38
16.69287633895874,-0.14,-0.24,-0.28
16.702726125717163,-0.17,0.01,-0.19
16.712950229644775,-0.22,0.34,-0.15
16.722880125045776,-0.23,0.64,-0.07
16.742789268493652,-0.4,0.5,0.05
16.744379997253418,-0.4,0.5,0.05
16.752300262451172,-0.53,0.04,0.12
16.762298107147217,-0.65,-0.34,0.25
16.772661209106445,-0.69,-0.42,0.33
16.78213405609131,-0.65,-0.13,0.35
16.792410135269165,-0.57,0.39,0.35
16.802090167999268,-0.43,0.81,0.3
16.81221103668213,-0.3,0.92,0.17
16.823142051696777,-0.18,0.71,0.03
16.841424226760864,-0.03,0.06,-0.13
16.844090223312378,-0.03,0.06,-0.13
16.85161828994751,0.08,-0.04,-0.2
16.8618803024292,0.1,-0.0,-0.31
16.871429204940796,0.1,-0.06,-0.38
16.881437301635742,0.13,-0.33,-0.38
16.891557216644287,0.21,-0.64,-0.33
16.9014573097229,0.27,-0.74,-0.23
16.911742210388184,0.3,-0.5,-0.12
16.921390056610107,0.29,0.01,-0.01
16.932350158691406,0.24,0.49,-0.01
16.951123237609863,0.19,0.29,0.06
16.95376205444336,0.19,0.29,0.06
16.96080732345581,0.12,-0.26,0.18
16.97085428237915,0.06,-0.74,0.2
16.980698108673096,0.08,-0.8,0.26
16.99071216583252,0.11,-0.41,0.31
17.000997066497803,0.13,0.19,0.26
17.01055908203125,0.14,0.56,0.19
17.020628213882446,0.12,0.44,0.2
17.03067922592163,0.05,-0.05,0.25
17.049673080444336,0.02,-0.58,0.25
17.05211114883423,0.05,-0.74,0.19
17.06015634536743,0.09,-0.39,0.12
17.070061206817627,0.17,0.17,0.02
17.079984188079834,0.26,0.59,-0.1
17.090410232543945,0.29,0.67,-0.21
17.099802017211914,0.23,0.39,-0.27
17.10989999771118,0.12,-0.12,-0.3
17.119832038879395,0.01,-0.6,-0.33
17.12997817993164,-0.08,-0.81,-0.35
17.150533199310303,-0.15,-0.34,-0.39
17.15238618850708,-0.15,-0.34,-0.39
17.159542083740234,-0.14,-0.02,-0.36
17.16934108734131,-0.11,0.16,-0.3
17.17956829071045,-0.1,0.16,-0.22
17.189293146133423,-0.1,0.07,-0.15
17.199122190475464,-0.1,0.03,-0.14
17.20932912826538,-0.08,0.1,-0.17
17.219141006469727,-0.12,0.18,-0.22
17.231516122817993,-0.16,0.1,-0.31
17.24905014038086,-0.25,-0.19,-0.39
17.250888347625732,-0.25,-0.19,-0.39
17.258527278900146,-0.24,-0.14,-0.42
17.268935203552246,-0.22,-0.01,-0.43
17.27855110168457,-0.23,0.1,-0.43
17.288538217544556,-0.27,0.08,-0.45
17.29833221435547,-0.31,-0.07,-0.45
17.308640003204346,-0.37,-0.28,-0.43
17.318397998809814,-0.42,-0.46,-0.41
